iter	Passed	Remaining
0	1	1513
1	3	1629
2	4	1509
3	5	1422
4	6	1354
5	8	1337
6	9	1303
7	10	1273
8	11	1283
9	12	1283
10	14	1289
11	15	1272
12	16	1290
13	18	1278
14	19	1268
15	20	1247
16	21	1237
17	22	1227
18	23	1233
19	25	1234
20	26	1236
21	27	1226
22	28	1220
23	29	1217
24	31	1244
25	33	1267
26	35	1279
27	37	1287
28	52	1757
29	53	1739
30	55	1724
31	56	1723
32	58	1710
33	60	1720
34	61	1706
35	63	1687
36	64	1669
37	65	1653
38	66	1637
39	67	1623
40	68	1605
41	69	1596
42	71	1586
43	72	1575
44	73	1562
45	75	1556
46	76	1553
47	77	1545
48	78	1531
49	80	1520
50	81	1508
51	82	1496
52	83	1489
53	84	1484
54	86	1481
55	88	1483
56	89	1484
57	91	1483
58	92	1475
59	93	1469
60	94	1462
61	96	1457
62	97	1451
63	99	1452
64	100	1448
65	102	1445
66	103	1441
67	104	1434
68	106	1433
69	107	1427
70	108	1422
71	110	1419
72	111	1413
73	112	1410
74	113	1405
75	115	1401
76	116	1399
77	118	1403
78	120	1409
79	122	1405
80	123	1404
81	125	1404
82	126	1397
83	127	1392
84	128	1386
85	130	1386
86	131	1381
87	132	1377
88	134	1376
89	136	1375
90	137	1369
91	138	1364
92	139	1359
93	140	1357
94	141	1352
95	142	1345
96	144	1342
97	145	1336
98	146	1334
99	147	1329
100	148	1324
101	150	1324
102	151	1321
103	153	1320
104	154	1317
105	156	1316
106	157	1314
107	159	1319
108	161	1321
109	163	1321
110	164	1319
111	166	1318
112	168	1322
113	169	1320
114	171	1318
115	172	1313
116	173	1307
117	174	1303
118	175	1300
119	176	1296
120	178	1294
121	179	1288
122	180	1286
123	181	1282
124	182	1278
125	184	1278
126	185	1273
127	186	1271
128	188	1269
129	189	1269
130	191	1269
131	192	1268
132	193	1263
133	196	1267
134	197	1264
135	198	1261
136	199	1257
137	200	1253
138	201	1249
139	202	1245
140	203	1242
141	204	1236
142	205	1233
143	207	1230
144	208	1227
145	210	1232
146	212	1230
147	213	1228
148	215	1229
149	216	1227
150	217	1224
151	219	1222
152	220	1220
153	221	1217
154	223	1218
155	224	1214
156	225	1211
157	226	1209
158	228	1206
159	229	1203
160	230	1199
161	231	1195
162	232	1192
163	233	1189
164	234	1186
165	235	1184
166	236	1180
167	237	1177
168	239	1175
169	240	1175
170	242	1173
171	243	1171
172	244	1169
173	245	1166
174	247	1165
175	248	1164
176	250	1163
177	251	1161
178	252	1158
179	253	1156
180	255	1157
181	257	1157
182	258	1154
183	259	1152
184	261	1150
185	262	1147
186	263	1145
187	264	1143
188	265	1141
189	267	1140
190	268	1138
191	270	1136
192	272	1139
193	273	1136
194	274	1133
195	275	1130
196	276	1127
197	277	1124
198	278	1121
199	279	1119
200	280	1116
201	281	1113
202	283	1111
203	286	1116
204	287	1115
205	288	1113
206	290	1111
207	291	1109
208	292	1106
209	293	1105
210	295	1103
211	296	1102
212	298	1104
213	300	1102
214	301	1101
215	303	1099
216	304	1098
217	305	1096
218	306	1093
219	307	1090
220	308	1087
221	309	1085
222	310	1082
223	312	1081
224	313	1080
225	315	1079
226	316	1078
227	318	1077
228	319	1075
229	320	1074
230	322	1073
231	323	1072
232	325	1071
233	326	1068
234	327	1066
235	328	1064
236	330	1064
237	331	1062
238	333	1060
239	334	1058
240	335	1055
241	336	1053
242	337	1050
243	338	1048
244	339	1046
245	340	1044
246	342	1042
247	343	1040
248	344	1038
249	345	1037
250	347	1035
251	348	1033
252	349	1031
253	350	1028
254	351	1026
255	352	1024
256	353	1021
257	354	1019
258	355	1017
259	356	1015
260	358	1013
261	359	1011
262	360	1009
263	361	1008
264	362	1005
265	363	1004
266	364	1001
267	366	999
268	367	998
269	368	996
270	369	994
271	370	992
272	372	990
273	373	988
274	374	986
275	375	985
276	377	984
277	378	983
278	379	981
279	380	979
280	382	977
281	383	975
282	384	973
283	385	972
284	387	970
285	388	968
286	389	966
287	390	966
288	392	965
289	393	963
290	394	961
291	395	959
292	396	957
293	398	956
294	399	954
295	400	952
296	401	951
297	403	949
298	404	947
299	405	945
300	406	944
301	408	943
302	409	941
303	410	939
304	411	937
305	412	936
306	413	933
307	415	933
308	416	931
309	417	930
310	419	929
311	420	928
312	422	926
313	423	924
314	424	924
315	426	923
316	428	923
317	431	926
318	433	924
319	434	923
320	435	921
321	436	919
322	438	918
323	440	918
324	442	918
325	443	917
326	444	915
327	445	913
328	447	912
329	448	910
330	449	908
331	451	908
332	452	907
333	454	905
334	455	903
335	456	901
336	457	899
337	458	897
338	459	895
339	460	893
340	461	891
341	462	890
342	463	888
343	465	886
344	466	886
345	468	884
346	469	882
347	470	880
348	471	878
349	472	876
350	473	874
351	474	873
352	475	871
353	476	870
354	478	868
355	479	867
356	480	865
357	482	864
358	483	863
359	484	861
360	485	859
361	486	857
362	487	856
363	488	854
364	490	852
365	491	850
366	492	849
367	493	847
368	494	846
369	495	844
370	497	842
371	498	841
372	499	839
373	500	837
374	501	835
375	502	834
376	503	832
377	504	830
378	505	828
379	506	826
380	508	825
381	509	823
382	510	821
383	511	820
384	513	819
385	514	818
386	515	816
387	516	814
388	517	812
389	518	810
390	519	809
391	520	807
392	522	806
393	523	805
394	524	803
395	525	801
396	526	800
397	527	798
398	529	797
399	530	795
400	531	793
401	532	792
402	533	790
403	534	788
404	535	786
405	536	785
406	537	783
407	538	781
408	539	780
409	541	778
410	542	777
411	543	775
412	544	774
413	545	772
414	546	770
415	548	769
416	549	767
417	550	766
418	551	764
419	552	763
420	553	761
421	554	759
422	555	758
423	557	756
424	558	755
425	559	753
426	560	751
427	561	750
428	562	748
429	563	746
430	564	745
431	566	744
432	567	742
433	568	740
434	569	739
435	570	737
436	571	736
437	572	734
438	573	733
439	574	731
440	575	730
441	577	728
442	578	726
443	579	725
444	580	723
445	581	722
446	582	721
447	584	719
448	585	718
449	586	716
450	587	715
451	588	713
452	589	712
453	591	710
454	592	709
455	593	707
456	594	706
457	595	705
458	597	703
459	598	702
460	599	700
461	600	699
462	601	697
463	603	696
464	604	695
465	605	693
466	606	691
467	607	690
468	608	689
469	609	687
470	611	686
471	612	685
472	613	683
473	614	681
474	615	680
475	616	679
476	618	677
477	619	676
478	620	674
479	621	672
480	622	671
481	623	669
482	624	668
483	625	666
484	626	664
485	627	663
486	628	661
487	629	660
488	630	658
489	631	657
490	632	656
491	633	654
492	634	653
493	636	651
494	637	649
495	638	648
496	639	646
497	640	645
498	641	643
499	642	642
500	643	640
501	644	639
502	645	637
503	646	636
504	647	635
505	648	633
506	649	632
507	651	630
508	652	629
509	653	627
510	654	626
511	655	624
512	656	623
513	657	621
514	658	620
515	659	618
516	660	617
517	662	616
518	663	614
519	664	613
520	665	611
521	666	610
522	667	608
523	668	607
524	669	605
525	670	604
526	671	603
527	673	601
528	674	600
529	675	598
530	676	597
531	677	596
532	678	594
533	679	593
534	681	591
535	682	590
536	683	589
537	684	587
538	686	586
539	687	585
540	688	583
541	689	582
542	690	580
543	691	579
544	692	578
545	693	577
546	694	575
547	695	574
548	696	572
549	698	571
550	699	569
551	700	568
552	701	566
553	702	565
554	703	564
555	704	562
556	705	561
557	707	560
558	708	559
559	710	557
560	711	556
561	712	555
562	713	553
563	714	552
564	715	551
565	716	549
566	717	548
567	718	546
568	720	545
569	721	544
570	722	543
571	724	541
572	725	540
573	726	538
574	727	537
575	728	536
576	729	534
577	731	534
578	733	533
579	734	531
580	735	530
581	736	529
582	738	528
583	739	526
584	740	525
585	741	523
586	742	522
